P(topic 1),P(topic 2),P(topic 3)
0.055431888,0.8893713,0.05519684
0.105077274,0.78985035,0.105072394
0.07261073,0.5946935,0.33269578
0.07676555,0.84653044,0.076703966
0.08628383,0.8262703,0.087445885
0.07104785,0.8579856,0.07096659
0.062051266,0.87594825,0.06200049
0.07671337,0.5711128,0.35217378
0.10803596,0.7839296,0.10803443
0.07475075,0.85050803,0.074741125
0.07153425,0.8578102,0.0706556
0.102199994,0.79560864,0.10219136
0.09550353,0.8090114,0.095485024
0.069112346,0.8617801,0.069107585
0.05512429,0.88992894,0.054946795
0.11692221,0.76614696,0.1169309
0.063849576,0.87241614,0.063734286
0.056661133,0.88669354,0.05664531
0.06971203,0.8605247,0.069763266
0.060575973,0.87665194,0.06277205
0.06692777,0.86615074,0.06692147
0.095064834,0.8101782,0.09475694
0.053716358,0.89258003,0.05370362
0.085744075,0.8285339,0.08572206
0.060059864,0.87990254,0.06003762
0.09892363,0.8021946,0.098881766
0.12744135,0.7451247,0.12743399
0.060282987,0.87965053,0.060066484
0.09325612,0.8136504,0.09309346
0.061094966,0.8781073,0.06079774
0.10114773,0.79768777,0.101164505
0.07632447,0.8473539,0.076321736
0.1179686,0.7640894,0.117942005
0.1384278,0.72313255,0.13843969
0.09409975,0.8117828,0.09411753
0.05749335,0.8480347,0.09447197
0.053194888,0.89361686,0.053188298
0.0607338,0.8786063,0.060659856
0.08603937,0.8279161,0.08604458
0.08990248,0.82016104,0.0899365
0.080303214,0.839399,0.08029783
0.05660013,0.8868431,0.05655683
0.050724566,0.89857394,0.050701514
0.058011644,0.88398516,0.05800315
0.09853193,0.8029363,0.09853172
0.10609917,0.78780115,0.10609974
0.09601231,0.80797374,0.09601396
0.055198878,0.88977647,0.055024646
0.10938409,0.7813574,0.109258436
0.09126741,0.8174442,0.09128833
0.09365309,0.81270224,0.09364461
0.10644826,0.787109,0.10644274
0.07677267,0.8463557,0.07687162
0.09086532,0.81837654,0.09075814
0.017523654,0.9655208,0.016955588
0.056506254,0.8870153,0.05647851
0.084474534,0.83106536,0.08446013
0.054684687,0.89063317,0.054682206
0.06650404,0.86700976,0.06648621
0.08008261,0.8401819,0.07973549
0.10665719,0.7869187,0.10642413
0.102883376,0.7944526,0.10266397
0.085005224,0.8301056,0.08488917
0.07118759,0.85787636,0.07093604
0.085315436,0.8293709,0.08531365
0.09665182,0.8067059,0.09664229
0.055244178,0.8896417,0.05511407
0.057027522,0.8861311,0.05684135
0.055359848,0.8897425,0.054897655
0.052097283,0.8958547,0.052048035
0.05764881,0.88492817,0.057422973
0.08784224,0.8243166,0.087841146
0.113233894,0.77354366,0.11322246
0.1067194,0.78655577,0.10672476
0.05212567,0.8958647,0.05200959
0.12509842,0.74985945,0.1250421
0.058301173,0.8834269,0.05827192
0.057050075,0.8857608,0.057189196
0.05906419,0.88193107,0.05900471
0.09479565,0.81041086,0.09479351
0.10969599,0.7806061,0.10969789
0.0803497,0.8394952,0.080155104
0.06247306,0.87508655,0.062440377
0.08414401,0.83194673,0.08390931
0.08152108,0.8369858,0.08149313
0.05396122,0.8921176,0.05392116
0.056354467,0.88740337,0.056242093
